,Parsed_Text,label
0,strong labour markets  with the unemployment rate still at the historically low level of 66 per cent in september  are likely to support higher wages,0
1,ecb staff analyses find that while participation rates of older workers have not yet returned to their prepandemic trend they are now comfortably above their prepandemic level,0
2,it found that households anticipate their real wages to fall by around 6 over the next twelve months slide 7 lefthand chart,0
3,in march the euro area unemployment rate and the unemployment to vacancies ratio  a broader measure of labour market slack  both fell to new record lows slide 10 lefthand side,0
4,at an aggregate level the ongoing reduction in the unemployment rate and the recovery in the labour force participation rate underline the overall improvement in the labour market,0
5,in february the euro area unemployment rate fell to yet another record low of 68 slide 4 lefthand side,0
6,the ratio of unemployed workers to job openings  a measure of labour market tightness  hit a new record low at the end of last year slide 4 righthand side,0
7,a labour market so tight at such an early stage of the recovery is a good predictor of strong future wage growth,0
8,relative to the size of the shock the unemployment rate in the euro area barely budged,0
9,recent analysis by the oecd quantifies the impact of higher job mobility on wage growth,0
10,the latest ecb staff macroeconomic projections foresee a substantial further decline of the euro area unemployment rate over 20222024 to levels not seen in decades,0
11,unemployment in the euro area has reached a record low and is at levels not seen since the 1970s,0
12,unemployment has also returned to its precrisis level of around 6,0
13,the last time the euro area6 saw unemployment rates at todays levels was in the 1970s,0
14,in december 2021 the unemployment rate stood already at 7,0
15,the unemployment rate is at a record low and below estimates of the nonaccelerating inflation rate of unemployment nairu while the participation rate is at a record high slide 5 righthand chart,0
16,chart 8 shows the evolution of the unemployment rate since 2014 while chart 9 shows the evolution of projected unemployment during the pandemic,0
17,chart 8 and 9 show that the labour market has turned out to be stronger than was expected during the pandemic and that the latest staff projections postulate a significant further decline of the unemployment rate over 20222024 to a level of 66 per cent toward the end of this horizon,0
18,of course while these charts focus on the unemployment rate it is always essential to take into account a wider set of indicators of labour market slack especially in view of the role of pandemicrelated labour market policies that might distort for longer the relation between the measured unemployment rate and the overall degree of labour market tightness,0
19,3   chart 8 unemployment rate in the euro area  percentages of the labour force   sources eurostat and december 2021 ecbeurosystem staff projections,0
20,the crisis left deep socioeconomic scars on millions of young people who faced the most precarious job market in decades,0
21,as many workers in job retention schemes do actually work the figures on employment include some of the workers covered by job retention schemes,0
22,the beveridge curve captures the negative relationship between the unemployment rate and the job vacancy rate,0
23,the unemployment rate declined from 81 in april to 74 in september  the same level as in february 2020 before the pandemic hit the global economy slide 2 righthand chart,0
24,9 for comparison after the great financial crisis the unemployment rate rose by well over 4 percentage points in both,0
25,it should be noted however that the unemployment rate alone does not summarise labour market dynamics,0
26,1 estimates of structural unemployment were consistently revised down as the economy strengthened,0
27,this is good news for the economy but it also means that we expect unemployment to fall below its precrisis level only in the second quarter of 2023 and wages to grow only moderately,0
28,in 2013 the european commission estimated that structural unemployment measured by the nonaccelerating wage rate of unemployment nawru in the euro area would rise to 116 in 2015,0
29,should unemployment rise more forcefully in response to the structural changes unleashed by the pandemic the increase in wage growth needed to underpin demand could be weaker than currently projected,0
30,unemployment is not expected to return to its precrisis level until the end of 2023  and in any case this was not a level that delivered strong wage pressures before the pandemic,0
31,for example job retention schemes are playing a major role in cushioning unemployment the share of workers who are unemployed discouraged or enrolled in such schemes is around double the headline unemployment rate chart 8 left panel,0
32,for example a 1 percentage point narrowing of the overall unemployment gap in the euro area reduces the unemployment rate of lowskilled workers by 13 percentage points more than the unemployment rate of highskilled workers,0
33,extending the methodology in this paper to the euro area ecb analysis finds that a narrowing of the unemployment gap actual unemployment minus the estimated nonaccelerating wage rate of unemployment benefits less advantaged groups more,0
34,younger households have been drawing more on their savings as their situation has worsened whereas older households have been setting aside more chart 1,0
35,in 2013 the european commission estimated that structural unemployment measured by the nonaccelerating wage rate of unemployment nawru in the euro area would rise to 116 in 2015 owing in part to supposed skill mismatch,0
36,in the united states for example the length of unemployment benefits automatically increases as soon as the unemployment rate exceeds a certain threshold,0
37,only around a third of those individuals who completed fulltime education at the age of 15 or younger are monetary union supporters,0
38,the euro area sovereign debt crisis has painfully demonstrated that such conditions can shift a disproportionate share of the macroeconomic adjustment burden onto workers either through falling nominal wages or higher unemployment when wages are too sticky to adjust,0
39,so far government support measures particularly shorttime work schemes have protected households against job losses and a drop in incomes,0
40,but this has not prevented unemployment from spiking in some countries,0
41,this is so far different from the postlehman period when the drop in employment was matched by a rise in unemployment,0
42,4  in this environment many households are uncertain about future employment and wage dynamics motivating them to save more for precautionary purposes,0
43,this partly results from a drop in labour market participation given that some individuals currently do not actively seek employment due to social distancing rules or childcare duties,0
44,nevertheless due to these measures a considerable increase in unemployment was most likely averted in all countries,0
45,figure 8 unemployment rate and share of workers in job retention schemes,0
46,while the various jobretention schemes introduced by governments have so far been effective in cushioning the fall in income and preventing a more precipitous decline in employment and the numbers of people enrolled in those schemes are falling as activity picks up keeping job support schemes in place is critical to avoid a sharp increase in unemployment later in the year,0
47,according to ecb estimates the euro area unemployment rate could exceed 10 in the third quarter,0
48,and if the most severe scenarios for growth materialise employment could fall significantly over the coming years presenting a serious risk of rising structural unemployment,0
49,if headline unemployment figures were adjusted for people who are temporarily not working and are being subsidised under government schemes unemployment rates could be up to two to three times higher than the headline rate in several countries,0
50,the unemployment rate in the euro area for example will likely still be noticeably higher in two years than predicted before the crisis slide 2 right,0
51,the decline in unemployment and the tightening of labour markets have further increased labour cost pressures,0
