Parsed_Text,label
and the federal reserves commitment to price stability means that we will be achieving this in an environment of low and stable inflation,4
i believe that your efforts and this constitutional review are very important because they will lead to more effective oversight and expert advisory arrangements that will help ensure that highquality international standards will be developed based on sound principles and appropriate due process and in a manner consistent with the public interest,3
shortterm capital flowed from canada to the united states in increasing amounts between 1965 and 1968 this was partly due to policies aimed at fulfilling the requirements of the canadianus reserve agreement of 1963 following the modification of that agreement in december 1968 the canadian outflow was reduced sharply in 1969 and 1970 canadas overall payments balancel with the united states improved greatly in the last half of the 1960s rising from a deficit of 15 billion in 1965 to a surplus of 626 million in 1970 this was accomplished in a consistent pattern of yearbyyear improvements,3
given the explosive growth in telephone traffic in recent years half our population would now be telephone operators,0
that doesnt mean that the feds paperbased businesses will be disappearing any time soon,4
5 jerry l jordan a market approach to banking regulation address delivered to the cato institute eleventh annual monetary conference march 18 1993 reprinted in the cato journal volume 13 number 3 winter 1994 pp,2
the magnitude of the devastation called for a significant response from the federal government and the congress and the president acted quickly to provide emergency spending and tax breaks to aid the areas affected by the hurricanes,3
many innovations come in the form of how we do things rather than simply what we use to do them,0
some of the most innovative have come out of community colleges,0
these limitations arise because of the inherent fallibility of the tools in a world of regulatory arbitrage because the scope of our regulatory authority does not extend equally to all parts of the financial system and because risktaking naturally tends to be structured in a nontransparent way that can make it hard to recognize,2
however because specific or new types of market failures might be driving a particular asset price bubble some future bubbles will almost certainly create unanticipated difficulties and as a result adjustments to our policy stance to limit the market failure contributing to a bubble could be very beneficial if identified and implemented at the appropriate time,2
central bank independence correlates well with low and stable inflation which correlates with sustainable economic growth that maximizes employment,0
indeed many of the structures seemed to be created to satisfy investors strong demand for securities that carried investmentgrade ratings but that might provide slightly higher yields than other investmentgrade securities such as corporate bonds,2
we seek out a qualified diverse workforce and foster an inclusive workplace3 we meet frequently with a range of advisory councils drawing on expertise in banking modeling and consumer and community finance4 we have increased transparency around our policy process and issued new reports on financial stability and banking supervision and regulation with new details about our work5 and across the federal reserve system our staff publishes a wide range of economic and policy research and plays an active role in academic discourse,0
there are only three ways by which the federal reserve can affect the excess reserves of financial institutions it can change the discount rate ie the rate at which financial institutions can borrow reserves from the fed it can change their reserve requirements ie the amount of reserves that they must hold per dollar of deposits and it can buy and sell securities in the open market,2
i further suspect that some bankers who went along with the view that loantodeposit ratios can be safely increased to 70 or 80 percent may now be having second thoughts if not real problems,2
but because we want to conserve energy and conserve lives we set a speed limit of 55 miles per hour and we actu lly driveclose to 55 miles per hour,3
it does control the supply of money more specifically the monetary base  which consists of outstanding currency and bank reserves,4
the objective is to prevent the securities affiliate from obtaining any benefits from the safety net and to assure that the bank will not draw on the safety net because of its dealings with its securities affiliate,2
unlike business spending household spending has continued to grow moderately this year despite being buffeted by changes in income wealth and consumer confidence,0
and as a central banker of a key currency country whose liabilities constitute international money i am quite willing to state my belief that inflation in the united states can only serve to interfere with grouth throughout the world,4
our goal is symmetric meaning that we dont want to see inflation run either persistently above or persistently below this goal,4
the atmosphere in the securities markets became much quieter than it was over the summer,2
all of these have added to  the list of bad debts in the hands of financial institutions commercial banks in particular,2
4 y accompany 1  are neer popular and in almost every sector of the economy you can find people who il w l argue that the overall restraint on credit growth works special hardsips on t1l1eir t 1 b  par icu nr usiness,1
because of the repeated commitment of the united  states to maintain a fixed price of gold a 35 per ounce,3
commercial real estate valuations derive from jobs among other factors so you can see the potential for a selfreinforcing dynamic that could be worse than expected,0
for example in response to instability of capital flows and the exchange rate some east asian countries such as korea and thailand began to build up large quantities of foreignexchange reserves and continued to do so even after the constraints imposed by the halt to capital inflows from global financial markets were relaxed,3
15 a what regulatory bodies state local or federal have jurisdiction over the firms rate applications and is there overlapping authority,1
it showed that 19 percent more adults remained in the familyfocused program for more than twenty weeks,0
the canadian recession of that period was only slightly deeper than that in the united states so canadas cyclical situation probably provided only a limited source of upward pressure on the current account and the exchange rate,3
as i already mentioned uncertainty about the value of assets about the creditworthiness of counterparties and about future calls on the liquidity and capital of important market participants caused liquidity to dry up in many segments of the money markets,2
some established operators incurred increased costs or operation and living that could not be sustained even on a normal market to say nothing of the low level of the last two years,1
third the system of floating exchange rates among the major currencies that prevails today relies upon appropriate monetary policies in the various countries to result in exchange rate stability,4
even in faster growing italy and the united kingdom unemployment is still in or near the double digit range,0
the most im portant of the creditsensitive industries housing deserves special mention,1
during previous upswings wage inflation approached 4 percent,0
just as you and your trustees bear  the fiduciary duty of properly managing and protecting the value of the  pensions under your administration we at the fed are charged with the  fiduciary duty of managing and protecting the value of our nations money  supply,4
some observers would not be surprised if the jobless rate climbed to the neighborhood of 6 per cent by year end,0
the redeposit proposal is based on an important technical point namely that unless the new marginal reserves held by nonmember banks with their correspon dent member banks are redeposited with a federal reserve bank these reserves will not be sterilized,2
and nost sectors are already deeply penetrated by existing lenders with considerable expertise ready to capitalize on the trend toward a checkless creditcard society,2
i trust that all of you share this sentiment and would welcome the opportunity to work with and support regional businesses in your venture and corporate growth endeavors,1
in this context even if the blending of financial functions and financial institutions does not directly and materially increase the degree of financial interdependence from what would occur in any event it may produce a situation in which it is more difficult to quickly identify the dimensions and reach of problems when they arise and to identify the circuit breakers that need to be thrown in order to prevent a particular problem from taking on systemic characteristics,2
our debate about what we dont want intermediaries and financial markets doing must be informed by a better articulated view of what we do want them doing,2
alternatively data showing capital invested per unit of,1
investing early in human capital makes sense for three reasons,0
while most rural communities continue to be relatively well served that is less often the case in communities with highpoverty rates17 in 2018 federal reserve staff members met with leaders in rural areas across the country that had recently experienced a bank branch closure,0
farm output adjustments over the course of the business cycles were found to be smaller on average than adjustments in the nonfarm sector 3   farm output decreased an average of 23  percent per year in the thirteen years of business decline,1
these may be the banks greatest contributions to the longterm economic prospects of the developing countries,2
all that said recent developments have understandably led to a substantial increase in the publics interest in the feds balance sheet and programs,4
specifically monetary policy actions determine the monetary base which is the amount of currency held by the public and the amount of reserves held by banks,4
21the challenge remainso the debt problem is still with us and it will have to be resolved ultimately in the context of growth,3
beginning around the middle of 1974 the demand for money mla at given levels of income and interest rates began to decline sharply according to board staff estimates and continued to fall until around the middle of 1977 during those three years actual money growth proceeded at an annual rate of about 512 percent,4
investors must be confident that banks are establishing sufficient levels of reserves and recognizing loan impairment in a timely fashion,2
by 1972 all except l_ in passing it should also be observed that deposits in foreign branches were also free of both us imposed reserve requirements and ceiling on maximum interest rates which could be paid,2
the capital stock and the labor force i shall begin with a few comments on the evolution of the capital stock in relation to gnp and to the labor force,0
each meeting concludes with a decisionor policy directivedesigned to achieve the objectives i mentioned earlier price stability and sustainable economic growth,4
in this environment any forwardlooking labor union or business that is exposed to export or import  7competition has to recognize that pushing hard for wage or price increases may be a disastrously counterproductive action if such increases result in a loss of markets and a loss of jobsi feel that this shift toward a more flexible wage and price structure presents an unusual opportunity to continue to restrain monetary growth to a level consistent with price stability without engendering an increase in unemployment,0
in fact investments in computers have accounted for a full percentage point of the recent growth in real gdp,1
of course there are a variety of alternative explanations for the current surprising relationship between inflation and unemployment and perhaps all of them are part of a full account,0
similarly     7 it may not feel like much of an expansion to consumers especially those who went on a borrowing and buying binge in the 1980s,0
for example how do we measure the valueadded of free digital services like facebook or twitter6          the future is as always uncertain,1
but with the fed funds rate at its zero lower bound the fed engaged in nontraditional policies to support the economy,4
congress has charged the fomc with making monetary policy to promote price stability and to promote maximum employment,3
today there appears  to be almost  nothing a bank can do that cannot be done by a nonbank bank while there remain many things  to  that  some nonbank banks can do  that  banks are not aìlowed  do,2
but i would also like to focus on the emerging longerterm challenges particularly on the need to augment our domestic saving rate to facilitate the financing of the investment that will almost surely be required as the baby boomers retire,3
prompt action by the fed and the resilience of the us economy carried us through,4
adherence to present federal reserve policy has meant that the ava,4
to be specific it was not just that there is a higher proportion of young people in the labor force today than fifteen years ago but that the characteristic unemployment rate for young people had increased as well,0
so understanding why some economies have succeeded and others havent comes down to understanding why some countries have managed robust investment in people capital and ideas,3
the increased complexity of many consumer products as well as their sale by a range of financial institutions to a larger segment of the public is arguably one of the causes of the current crisis,2
nor is it to make a judgment about the desirability of lower government spending,3
however the rise in the use of credit by lowerincome homeowners has not come without cost,0
changes in preferences can result from recognition of the health  benefits or detriments of certain types of food but the largest driver is  surely growth in per capita income,0
rates would respond to the forces of demand and supply and accurately reflect the trading positions of all nations,1
we are also aware of concerns that the current competitive balance between basel i banks and basel ii banks might be upset in certain loan markets,2
the areas in which we provide  similar services are limited to those in which we have a responsibility   15 either to the treastiry as its fiscal agent or to _the congress as the guarantor of an efficient tmiform payments system,4
this past year alone the federal reserve system sponsored more than 200 conferences and workshops on community development and reinvestment topics 6 attended by more than 11000 bankers and others,4
central bank openness allows the public and its elected representatives to make informed judgments and constructive criticisms about policies made by its central bank and to assess economic outcomes relative to specified longrun objectives,0
second financial institutions understand that it is in their best business interest to make business continuity planning an executive management issue requiring toplevel involvement and not insignificant investment,2
financial innovations have improved the liquidity of housing investments and the tax code has tilted even more favorably towards housing,0
the federal reserve has established a strong record of promoting financial stability and we will continue to work to ensure the vibrancy and resilience of the us financial system,2
in this environment the unemployment rate has fallen to 4 percent and the underlying rate of price inflation has slowed on net despite very high rates of resource utilization,0
as a country we have about 2 million fewer people working today than were working at the start of the great recession in december 2007 and the labor force has continued to grow,0
third certain basic fundamentals regarding capital measurement and capital adequacy will not change,2
greater diversification is frequently cited by the banks as being necessary to their survival and as a force for restructuring,2
the president made his first initiative on_an incomes policy on april 11 whe_n he called on the,3
indeed by statute the gao is charged with making recommendations to congress about the areas they have reviewed,3
undoubtedly the earnings on that portion of their reserves which these banks can invest would lessen the net burden of their much higher reserve requirements,2
this suggests that the vast secondary market for home mortgages has largely adjusted to the recent increases in mortgage rates,0
average assets marketings production expenses and net income per farm have all roughly doubled in the last 10 yearsan annual rate of increase of about 7 per cent,1
the first of these authorities is directed at financial firms that are not bank holding companies and thus not subject to capital requirements and other parts of the holding company regulatory regime,2
georgia outside the metro area remains at an earlier point in the transition to a post     11    industrialized economy and faces the dislocations associated with that change,1
its a pleasure to speak at the  central banking forum coorganized by bank indonesia and the federal reserve  bank of new york,4
therefore able to produce carpets fashioned virtually  to  they are  the tastes o f individual  customers while charging prices low enough to vie successfully against foreign producers with much lower labor costs,1
we look at how many net new jobs were created,0
probably the most important o f these is  population growth or more specifically inmigration,0
a system of farm credit banks for discounting paper of commercial banks has been suggested as a means of meeting the area creditdeficit problem,2
a national council comprised of the chairs of each regional advisory panel meets with the board of governors in washington twice a year,4
while gnp or national output will grow at about the same rate in 1987 as it did last year more of that increase in output will be exported and less of it will be available for domestic use,1
however his indulgence affords me an opportunity to discuss issues i have been close to for the past several months and which seem to me to be raterial to a discussion of banking and the securities business,2
15differential iffipact of netarx  fis restraint in the judgment of a really remarkable consensus of economists bankers businessmen and public officials the best way to achieve the required moderation in domestic demand is through a policy of vigorous fiscal restraint,3
at the same  time the seasonally adjusted labor force participation rate fell from 657  percent to 647 percent,0
total commercial bank loans outstanding have risen at almost a 24 percent annual rate since last july,2
ballooning expenditures have been the result,3
i should emphasize that the views expressed are my own and should not be attributed to anyone else in the federal reserve system1 monetary policy is primarily about inflation so let me begin with an overview of the inflation situation,4
i have yet to find a single economist on this planet who consistently  forecasts the economy accurately let alone projects with any precision the  interest rate on overnight funds one year out or far into the future,4
in light of these data in my view the labor market is rapidly approaching maximum employment,0
the federal reserve board has over time developed powerful econometric modeling tools to assist our understanding of the many interrelated economic forces,4
moreover it now appears that nationbuilding efforts in iraq will require additional government spending,3
the partial shutdown of the federal government is a case in point,3
thus although they will likely have problems w e should expect m o s t nonbank suppliers of f a r m credit to be able to keep pace with future demands,2
the resultant shrinking of deposits under central bank cognizance is of grave concern at a time when more effective monetary control is essential to combat the clear and present danger of virulent inflation,2
regulators had recognized these problems in some cases but did not press firms vigorously enough to fix them,1
these trends have heightened credit risk,2
it is imperative that all of us as citizens and as bankers keep abreast of legislative developments on the federal level and take whatever actions they make necessary,2
but im listening to business contacts for indications they are getting more cautious with spending and hiring plans,1
before i begin let me give the standard disclaimer the views i express today are mine alone and do not necessarily reflect those of anyone else in the federal reserve system including my colleagues on the federal open market committee fomc,4
senator nels on aldrich chairman of the national monetary commission whose investigations of central banking laid the basis for establishing the federal reserve system was deeply impressed with the need for a strong monetary authority capable of exercising discipline over the financial affairs of a nation,4
