text,sentiment
target2 is seen as a tool to promote the further integration of its users internal processes including the centralisation of euro payment business,1
the slovak republic for example is now home to a number of sizeable car manufacturing plants and over time it may become the detroit of the european union,1
the earlier this happens the earlier economic activity employment and innovation in the eu can be lifted to a higher level,1
the bank has made essential contributions in koreas economic development the reform of the countrys financial system and its integration into the global financial system,1
moreover the economic size and welldeveloped financial markets of the euro area inevitably mean that it will play a role in the internationalisation of chinas currency,1
deeper financial integration can offer more possibilities for financial institutions to better manage and diversify their relevant risks and realise economies of scale,1
the level of productivity in the financial sector is important in terms of both the qualitative and quantitative aspects of the transmission mechanism,1
thanks to the high level of confidence in the euro we have a financial environment all over the euro area which is favourable to growth and job creation,1
enlargement has created the worlds biggest unified market that accounts for about one fourth of world trade and global gross domestic product gdp,1
a virtuous circle can be expected whereby the growth of the securities markets in the euro area will make the integration and consolidation of these systems easier thereby simplifying crossborder transactions and thus supporting the further attractiveness and growth of the securities markets,1
research on the bank lending channel and the effectiveness of our credit easing programme is particularly welcome and was well represented at our workshop,1
the russian presidency has given special attention to the fourth issue longterm investment financing for growth and development,1
the global economy has become increasingly interconnected and its degree of integration will most likely continue to increase in the future,1
however as the sector continues to expand and increase its role in lending to the real economy as its interlinkages with the wider financial sector deepen and as the footprint of large institutions grows nonbanks will only gain in systemic importance,1
at the same time over the last decade eu legislation has been growing dramatically in scope and coverage for many areas and segments of financial markets,1
by increasing intraeuro area fdis and mas companies in europe are able to reallocate their capital in a more efficient manner,1
the development of this market has been strengthened by the eurosystems operational framework of open market operations which is mainly based on reverse transactions and the implementation of the new target realtime gross settlement payment system in participating countries,1
stijns intellectual endeavours have significantly broadened our understanding of various aspects of housing markets and financial stability to name two examples,1
impact on trade foreign direct investment and crossborder portfolio flows    the effects of globalisation are channelled via trade in goods and services all of which has a tangible impact on businesses and households,1
by way of comparison the united states has traditionally been characterised by a very high degree of income and consumption smoothing across states,1
our previous expectation of a reacceleration of real gdp growth in the first months of 2006 has thus materialised confirming our assessment that economic growth is broadening and gradually becoming more sustained,1
of course just as important for us are the broad economic benefits of integration in terms of increased efficiency and competitiveness of the economy,1
over the past few years progress in restructuring and consolidating the banking industry in accession countries has contributed to greater stability efficiency and also integration with the eus financial sector,1
structural reforms permit a higher level of sustainable longrun economic growth by increasing the supply of production factors and improving the efficiency with which they are used,1
emerging countries are becoming more and more integrated into the world economy,1
the imfs special standard for dissemination of economic and financial data has become a widely recognised benchmark to which a large and increasing number of countries have subscribed,1
in this regard the degree of synchronisation of business cycles across euro area countries seems to have increased and currently appears to be at a historical high,1
the pandemic has accelerated digitalisation and the related gains in productivity,1
in the eu the promotion of a knowledgebased economy and the clustering of more diversified but complementary competencies could further advance innovation agglomeration effects and economic dynamism,1
i firmly believe that the international cooperation among public authorities will continue to foster financial integration development and stability,1
card payments are mostly concerned by the second effect of financial integration and the fact that it makes financial services cheaper and more easily accessible to european citizens,1
it would be useful to examine the available evidence in a systematic manner and try to quantify and estimate the contribution of education and research to the development and efficiency of the financial system and the resulting direct and indirect effects on total productivity growth,1
with the adoption of our app forward guidance has been extended to key parameters of our purchases and has helped investors form expectations about the size of app and its duration,1
by the same token structural reforms that increase confidence in economic prospects and encourage entrepreneurs to capitalise on todays extremely accommodative financing conditions will make our policy commensurately more powerful,1
indeed by fostering real convergence through structural reforms thereby improving the supplyside of the economy through enhanced flexibility in goods and labour markets nominal convergence will also be enhanced,1
both domestic demand and exports made significant contributions to this growth confirming the sustained and broadbased nature of the current expansion,1
their subsidiaries and branches have played and will continue to play a central role in improving the efficiency of financial intermediation across the region and contributing to credit availability,1
trade investment and financial transactions between countries foster growth and prosperity,1
this should contribute to improving the investment climate and supporting closer economic relations between the eu and russia,1
the earlier this happens the earlier economic activity employment and innovation in europe can be lifted to a higher level and standard,1
lending rates for euro area firms and households are at historic lows and have converged across the euro area while growth in bank lending volumes has recovered significantly since the beginning of 2014 thereby supporting investment and job creation,1
during the first half of 2004 economic activity showed relatively dynamic growth supported by a strong expansion in the world economy,1
integration has also advanced in the repomarket probably one of the most dynamic segments of the money market,1
as investment recovers it should also spur a pickup in global trade in the medium term,1
the lisbon agenda has tried to take a step in this direction by seeking to enhance the knowledgebased economy increase labour participation and foster financial integration,1
national governments have in addition undertaken an unprecedented concerted fiscal expansion to stimulate demand and foster confidence in our economies,1
indeed employment has grown by 18 in 1999 and by over 2 in the first half of 2000,1
1 this positive effect has a wellknown microeconomic underpinning financial deepening alleviates financing constraints at the firm level allowing firms to grow by engaging in higher capital investment and rd investment among other things,1
there are various immediate sources of output per capita growth,1
taken together the broadening of the recovery across countries and sectors suggests that it has not only gained momentum but importantly the recovery has gained robustness,1
globalisation is the term used to describe the growing interdependence of economies via trade production and financial market linkages,1
moreover having highlytrained human capital facilitates the assimilation of technological progress and innovative technology increasing the overall productivity of the economic system,1
digital technologies together with trade liberalisation have facilitated the growth of global value chains,1
financial integration which increases the efficiency and fosters the development of the financial system helps to raise the economys potential for stronger noninflationary economic growth,1
in the euro area mergers and acquisitions across sectors have accounted for roughly 30 per cent of all financial industry deals in terms of value over the past five years,1
in addition the value chains in which they participate mainly involve trade in durable goods which have a high level of income elasticity,1
i would like to conclude this part of my speech with three remarks first trust in the course of structural reform as fostered by the lisbon agenda and a better understanding of the economic benefits structural reforms entail are conducive to raising consumer confidence and private consumption,1
3 at the same time the importance of remittances has grown they have overtaken foreign direct investment as the largest source of external financing to emerging economies,1
the financial industry retains a primary responsibility and has strong incentives to promote the smooth functioning of the financial system,1
since then there has been a widespread process of capital account liberalisation coupled with a growing integration of international financial markets,1
in general banking competition brings very positive aspects for the real economy and to welfare and there is no doubt that liberalisation of the banking sector in spain has been very positive for the country,1
it is clear that all these ongoing developments in the financial markets for which the introduction of the euro has been a catalyst are contributing to a more dynamic functioning of the euro area economies and to the growth potential of the euro area,1
intraeuro area foreign direct investment fdi has also grown considerably and is catching up with extraeuro area fdi,1
i highlighted two major issues which are currently attracting our attention in a number of member states robust credit growth and rapidly rising house prices,1
in fact most forecasts suggest that euro area real gdp growth will be above 3 in 2000 and 2001 reflecting both the favourable external environment and buoyant domestic demand,1
in this article the authors identify a clear link between product market reforms aimed at increasing competition and the rise in labour productivity which constitutes a key determinant of longterm output growth,1
this achievement has been accompanied by economic performance in terms of growth per capita and job creation that compares positively with other large advanced economies,1
in the euro area domestic demand has contributed to the recovery helping to create 114 million new jobs since mid2013,1
by smoothing entry opportunities and allowing greater customer information and mobility internet banking undoubtedly has the potential to make retail banking markets more integrated and contestable,1
while intraeuro area trade has grown robustly since the introduction of the euro extraeuro area trade has recorded even more rapid growth,1
a deepening in the integration processes of both manufacturing and services industries offers the prospects of significant gains at the economywide level,1
for the euro area these international linkages are highly significant particularly because economies of scale and crosscountry technological spillovers support euro area economic growth,1
but now we also have strong empirical evidence based on ecb research analysing the available evidence for many countries and sectors that the size and depth of capital markets have a significant positive impact on economic growth,1
the performance of a financial system and notably its efficiency is influenced by its fundamental features in conjunction with the processes of integration and financial development,1
the euro has acted as a catalyst for the integration of the euro area financial markets,1
the results show beneficial effects on both the demand and the supply side the latter arising from gains in productivity and competitiveness as physical and human capital stocks are increased,1
as pointed out by noyer 2000 in the context of the programme of economic and monetary union the processes of economic activity became more intertwined in the european union which naturally led to the development of more crossborder financial interconnections,1
