text,sentiment,audience
governmental policy including that of the federal reserve continues to aim at limiting the pressure of aggregate demand on available resources,0,f
in light of the difficulties and uncertainties that are associated with measuring the pace of technological change i want to take a moment to comment on the risks for the appropriate conduct of monetary policy that are associated with technology and productivity,0,f
this means keeping the federal funds rate at its current setting continuing our 133 programs until we judge that they are no longer required and considering use of other tools,1,f
any decision to move in this direction therefore might be best linked to a broader decision to change the federal reserve act to allow the federal reserve to hold private debt in its portfolio,1,f
6the developments in the payments area are particularly interestingwe have tended to be preoccupied with the pricing and other requirements mandated by the monetary control act and may be overlooking the fact that some of the major retailerssuch as wards penneys and searshave already established their own proprietary nationwide eft systems,0,f
for monetary authorities the most fundamental problem of timing is to perceive changes in the business climate quickly enough to take compensatory action,1,f
despite its tradition  2  the fed has had considerable experience in directing credit flows  the main lesson it has drawn from this experience is that the task is distasteful and results have not been outstandingly successful,0,f
as with all taxes on business the  true burden is shared by investors in the form of reduced market valuations of their investment by employees in the form of lower real wages and by customers   in this case  in the form of higher interest paid on loans and lower interest received on savings,1,f
local lenders can replace these funds in the credit markets or through government agencies to some extent but the cost and availability of credit to small local borrowers could well be affected by an accelerated conversion of deposits to mmfs,0,f
the result could be a slower rate of growth in savings  institutions which lend to farmers,0,f
see lael brainard 2020 statement on rule to simplify capital rules for large banks march 4 and statement on stress tests for 2020 june 25 return to text i note this speech was updated on march 31 2021 the original version of this speech stated that funds that invest primarily in corporate bonds saw record outflows in march 2020 these openend funds held about onesixth of all outstanding us corporate bonds prior to the crisis,0,f
although rates vary by platform and borrower characteristics when taking into account origination fees and repayment periods the average annual cost of borrowing or apr associated with loans and credit products offered by online alternative small business lenders tend to be higher than those associated with traditional bank products14 reports suggest that some borrowers are willing to pay a higher price in exchange for an easy application process a quick decision and rapid availability of funds15  while some see online alternative lenders as a disruptive threat to traditional lenders banks increasingly are finding ways to partner with online alternative lenders including through loan purchases and referral agreements,0,f
at the same time people and businesses are unwilling to invest in new payment processing equipment unless they are sure a lot of payors will use it,0,f
network of customer relationships the data reviewed above indicate the extent of the preferential treatment that banks give their business customers,1,f
city of the typical rural bank is largely determined by the income of its community in consequence growth in the lending capacity of country banks has not kept pace with growth in the size of credit needs on individual farms  4 and b k,0,f
this is particularly important since cre lending in recent years has occurred under fairly benign credit conditions and naturally those conditions are unlikely to continue indefinitely,1,f
banks with less than 1 billion in assets have made a million loans under the ppp about onefifth the total delivering 85 billion in relief to their customers6 additionally as shown in figure 1 the smallest banks made the smallest ppp loans on average illustrating that these banks play a key role in serving businesses that may be outside the focus of larger banks,1,f
even if one borrower is perfectly sound if other borrowers like it go under lenders will be reluctant to lend to similarly classified borrowers,0,f
the capital outflows associated with the persistent current account surpluses were large even in net terms and combined with relatively restrained business capital spending in many advanced economies including the united states put downward pressure on real interest rates globally4           from a purely theoretical perspective there is no compelling reason to believe that low real interest rates by themselves pose a particular risk to global economic and financial stability as real interest rates should be driven by underlying forces to balance the global demand for saving and investment,0,f
for example growth in sectors such as green industries and advanced manufacturing is creating jobs but these jobs may demand different skills,1,f
similarly demonds for funds to finance expenditures hve outrun the available supplies of savings and the price of longterm funds has incre2sed for all borrowers,0,f
in an environment of fairly steady noninflationary  economic growth and a healthy financial system farmers like other businesses can plan  investmentsand adjustmentswith some degree of certainty that the assumptions upon            13        whieh todays decisions are made will be valid tomorrow and well beyond,1,f
liquidity of businesses and financial institutions has improved and business credit demand has been atypically lower than in past recoveries at this phase of the cycle,0,f
but even outside of the energy sector business investment has been soft despite generally accommodative financial conditions,0,f
sound corporate governance is an essential element of a strong risk management process,1,f
in my example the airline could buy a forward contract or a call option on jet fuel to hedge its risk and thereby increase its financial stability,1,f
moreover we soon will implement a new temporary commercial paper funding facility that will provide a backstop to commercial paper markets by purchasing highly rated commercial paper directly from issuers at a term of three months when those markets are illiquid,1,f
however the downward adjustment of stocks to more desired levels now seems well along in most industries and this drag on production may be diminishing,1,f
it appears that loan demands particularly business loan demands eased markedly at both the multinational and major regional banks during 1970 both groups recorded slight drops in their total loans adjusted for loan sales and comparatively sharp decreases in their business loans,0,f
